number,value,state,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_fold_log_losses,user_attrs_mean_validation_log_loss
32,0.6565463313650851,COMPLETE,0.9439666987821498,0.06817125334170729,4,412,0.00021729674143726848,0.39216729730667144,2078,11,1.2788978590271325e-05,1.780841052806526,0.7165224466507919,7,"[0.6813145867971646, 0.6675776751749386, 0.6937300923488902, 0.6851129625504634, 0.6898138196723171, 0.654769857658474, 0.689563210910028, 0.6930657555641085, 0.6799501317938005, 0.6940820440531297, 0.6934024270983842, 0.5819532406177675, 0.5279095430364102, 0.6935092994038662, 0.6222810373292091, 0.6707020348520135, 0.5425499143454802]",0.6565463313650851
33,0.6566012614369839,COMPLETE,0.8969435328053326,0.07189865542653456,3,413,0.000111925383415297,0.40416402188214007,2427,10,8.75062864044103e-07,3.50081760778714,0.7401779043760975,4,"[0.6818947929241487, 0.6685997236109062, 0.6939835423764342, 0.6872453069212207, 0.690931014688985, 0.6579770694727418, 0.6891388608750416, 0.6932313097623684, 0.680663805009185, 0.6942494305717845, 0.6931746580139675, 0.5750859279819358, 0.5256051992543886, 0.6934233240257284, 0.623424796739645, 0.6687592910528899, 0.5448333911473567]",0.6566012614369839
34,0.6566384156843281,COMPLETE,0.8603773010292782,0.06968944268934903,3,297,0.003714192481700825,0.22303496321741376,2341,11,9.439847067824479e-07,2.4646238713984614,0.7530443391373504,4,"[0.6756856297794431, 0.6668892552662824, 0.693777631770505, 0.6871565590134385, 0.6916766856618716, 0.6594092740295524, 0.6883649172360262, 0.6933075312446442, 0.679535339649427, 0.6940019984151565, 0.6932446175469162, 0.5787616646824064, 0.5281231563335641, 0.6933896273405183, 0.6239585827249949, 0.6711242554635022, 0.5444463404753297]",0.6566384156843281
35,0.657008835320179,COMPLETE,0.9597287842912553,0.06039036630293177,3,382,0.00014004035359517947,0.10566929301109462,1964,11,5.461364687450899e-06,1.3328244345912086,0.7371160619811804,2,"[0.684654260207457, 0.6677280726580744, 0.6935817005756799, 0.6873615080745492, 0.6903799880906478, 0.6581993760709242, 0.6888144570182438, 0.6932161691022067, 0.6751360150442874, 0.6938322355079022, 0.692926147603326, 0.5828030169443345, 0.5289744303748715, 0.6933857414504843, 0.6252981534773475, 0.6681393188439481, 0.5447196093987574]",0.657008835320179
36,0.6560641267680387,COMPLETE,0.9649649257868288,0.0685531077793493,3,389,0.0026611992667091014,0.1935702371000226,2293,12,2.6525944332685465e-05,1.386454378518115,0.7150300950530979,7,"[0.6834351950919544, 0.6680060289485438, 0.6937200488569578, 0.6855090305965447, 0.6904541004261141, 0.6556276706116365, 0.6905108571324704, 0.693286089647056, 0.6796370081019997, 0.6935078972724223, 0.6926999906721023, 0.5756700175690985, 0.5244545250142132, 0.6934276712297748, 0.6216561457673453, 0.6689543863131723, 0.5425334918052529]",0.6560641267680387
37,0.6564882452208182,COMPLETE,0.7572757031021302,0.03763139623944985,3,422,0.07477386720610839,0.42486298479646056,1927,18,1.7561117169980628e-08,0.6163979257093946,0.8278787660132378,4,"[0.6806351087879768, 0.6676271856266736, 0.693498878115482, 0.6875137462471026, 0.6916072611162898, 0.657729620479653, 0.6881538388791001, 0.6931608163087031, 0.677920441483074, 0.6935651079500792, 0.6926605878974974, 0.5808930877381616, 0.5250660772105602, 0.6933977143610753, 0.625919542023136, 0.6684379142499779, 0.5425132402793633]",0.6564882452208182
38,0.6839644781262474,PRUNED,0.9000166999970897,0.052912708644162504,3,635,0.0007730896317239919,0.09023378178795277,2122,14,3.2382786323652135e-06,3.0869459872208376,0.7693617586458356,7,,
39,0.6567110271158664,COMPLETE,0.9319438827978163,0.06848195159627461,6,429,0.00012337329365554985,0.7250552403762228,2257,27,2.587185045008456e-07,3.276274233299099,0.7111277923523563,4,"[0.6835096953943783, 0.6680706517955232, 0.6939739636638123, 0.6854112089713879, 0.6891745076373837, 0.6599002294440678, 0.6914034044739956, 0.6930157727270123, 0.6776002122878695, 0.6931421553708045, 0.6931777259022152, 0.5829013738754982, 0.5275801776741502, 0.6939644388800175, 0.6234472556787289, 0.664167907895265, 0.5436467792976181]",0.6567110271158664
40,0.68452246259649,PRUNED,0.7178222324675865,0.037212961332790694,3,625,0.07346536889952984,0.4843179328709292,1175,24,2.623978451510954e-08,1.8500187750388954,0.7750540631534084,4,,
41,0.6572380348697574,COMPLETE,0.738420744813814,0.0713107407353746,4,211,0.13824277269588323,0.3502481089929478,2454,26,3.786891749201014e-07,0.5857855168096994,0.7899244661910969,3,"[0.6832059423947598, 0.6689310982953284, 0.6938096176382467, 0.6877930253907992, 0.6912998982223435, 0.6569264620818024, 0.6903961532969116, 0.6929551871630882, 0.6790176025852216, 0.6941642336071765, 0.6932157812072939, 0.5829635295678018, 0.5251817078176751, 0.693338787311135, 0.6286919692117259, 0.6680599621988755, 0.5430956347956909]",0.6572380348697574
